,Unnamed: 0,2020年01週,2020年02週,2020年03週,2020年04週,2020年05週,2020年06週,2020年07週,2020年08週,2020年09週,2020年10週,2020年11週,2020年12週,2020年13週,2020年14週,2020年15週,2020年16週,2020年17週,2020年18週,2020年19週,2020年20週,2020年21週,2020年22週,2020年23週,2020年24週,2020年25週,2020年26週,2020年27週,2020年28週,2020年29週,2020年30週,2020年31週,2020年32週,2020年33週,2020年34週,2020年35週,2020年36週,2020年37週,2020年38週,2020年39週,2020年40週,2020年41週,2020年42週,2020年43週,2020年44週,2020年45週,2020年46週,2020年47週,2020年48週,2020年49週,2020年50週,2020年51週,2020年52週,2020年53週,2021年01週,2021年02週
14,杉並,15,225,159,210,137,61,55,72,72,40,18,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15,池袋,13,128,100,67,53,30,35,37,31,20,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
16,北区,65,139,115,121,89,66,58,41,37,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,荒川区,63,122,91,99,79,82,61,50,25,18,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,板橋区,147,169,144,123,135,59,65,68,57,55,28,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,練馬区,12,308,257,316,236,129,170,165,86,36,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,足立,50,277,196,296,217,113,137,104,70,36,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,葛飾区,66,210,148,182,211,125,71,78,50,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,江戸川,122,266,201,224,205,164,178,126,79,33,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,八王子市,139,380,329,357,406,309,242,156,49,54,29,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
